dataset,scenario,method,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std,runs,gate_mean,delta_abs_mean
PEMS08,incident_perturbation,GenericAdapter,0.2584983582674824,0.033611381950812355,0.34673781518717534,0.039286959748876964,12,1.0,0.0246935498441226
PEMS08,incident_perturbation,RePAC,0.2525422652254106,0.02947139002507899,0.3380068766162146,0.03326512191346742,12,,
PEMS08,incident_perturbation,Target Backbone,0.26565548673713013,0.037305124401213675,0.3561957419393848,0.04438854187811679,12,,
PEMS08,random_missing_50,CalibrationGuard,0.25180118211095076,0.03495345949253182,0.340196485345293,0.039420094843223646,12,0.5338432113826411,0.027003452606041752
PEMS08,random_missing_50,DoRAAdapter,0.2540242440594796,0.036736650306830335,0.343228807149449,0.04249550556812239,12,1.0,0.013427547985990808
PEMS08,random_missing_50,FailureAnomalyGuard,0.25272672161135407,0.036140182169237686,0.34144485413497594,0.04119047816326927,12,0.546896231880374,0.025441464954104136
PEMS08,random_missing_50,GenericAdapter,0.2483747465340296,0.034213342997237356,0.33558390167265867,0.03804911923605175,12,1.0,0.026552485031612335
PEMS08,random_missing_50,RePAC,0.24008796625710305,0.03464284479200146,0.32523590119235624,0.036967259861423046,12,,
PEMS08,random_missing_50,Target Backbone,0.2565830003754761,0.0362448557790562,0.346386521603443,0.0420151762065174,12,,
PEMS08,sensor_failure_30,CalibrationGuard,0.49717531502030426,0.15247091402214802,0.6579186874666504,0.14994576935789608,12,0.5305484392197996,0.013685264618568116
PEMS08,sensor_failure_30,DoRAAdapter,0.4978791612945091,0.15237849217248078,0.6587065951013866,0.15007562036634128,12,1.0,0.014623390779862258
PEMS08,sensor_failure_30,FailureAnomalyGuard,0.49683926706307163,0.1534538096428336,0.6580013445334959,0.15161390163703398,12,0.5348240970786101,0.016206310097514973
PEMS08,sensor_failure_30,GenericAdapter,0.49645783335035404,0.15263131026332002,0.6565541641151711,0.14984074401124828,12,1.0,0.015110502575477426
PEMS08,sensor_failure_30,RePAC,0.4919041209058131,0.14726323228140667,0.6466381412045581,0.15264766995426554,12,,
PEMS08,sensor_failure_30,Target Backbone,0.4985837694000488,0.15262173458530678,0.6599407235906575,0.15043047422666786,12,,


